Location;Operator
Fort Myer, Virginia;Military - U.S. Army
AtlantiCity, New Jersey;Military - U.S. Navy
Victoria, British Columbia, Canada;Private
Over the North Sea;Military - German Navy
Near Johannisthal, Germany;Military - German Navy
Tienen, Belgium;Military - German Navy
Off Cuxhaven, Germany;Military - German Navy
Near Jambol, Bulgeria;Military - German Army
Billericay, England;Military - German Navy
Potters Bar, England;Military - German Navy
Mainz, Germany;Military - German Army
Off West Hartlepool, England;Military - German Navy
Near Gent, Belgium;Military - German Army
Off Northern Germany;Military - German Navy
Near Texel Island, North Sea;Military - German Navy
Off Vlieland Island, North Sea;Military - German Navy
Off western Denmark;Military - German Navy
Near Luneville, France;Military - German Navy
Over the Mediterranean;Military - German Navy
Off Helgoland Island, Germany;Military - German Navy
Ameland Island, North Sea;Military - German Navy
Elizabeth, New Jersey;US Aerial Mail Service
Cleveland, Ohio;US Aerial Mail Service
Dix Run, Pennsylvania;US Aerial Mail Service
Newcastle, England;Aircraft Transport and Travel
Cantonsville, Maryland;US Aerial Mail Service
English Channel;Aircraft Transport and Travel
Long Valley, New Jersey;US Aerial Mail Service
New Paris, Indiana;US Aerial Mail Service
Newark, New Jersey;US Aerial Mail Service
Newark, New Jersey;US Aerial Mail Service
Heller Field, New Jersey;US Aerial Mail Service
Oskaloosa, Iowa;US Aerial Mail Service
Cleveland, Ohio;US Aerial Mail Service
Bedford, England;By Air
College Park, Maryland;US Aerial Mail Service
Morristown, New Jersey;US Aerial Mail Service
Pemberville, Ohio;US Aerial Mail Service
Hillersburg, Pennsylvania;US Aerial Mail Service
Off Port Vendres, France;Latecoere Airlines
Valencia, Spain;Latecoere Airlines
Batavia, Illinois;US Aerial Mail Service
Tie Siding, Wyoming;US Aerial Mail Service
Cricklewood, England;Handley Page Transport
Barcelona, Spain;Aeropostale
Mendotta, Minnisota;US Aerial Mail Service
La Crosse, Wisconsin;US Aerial Mail Service
Off Gibraltar;Aeropostale
Elko, Nevada;US Aerial Mail Service
Point Cook, Australia;Military - Royal Australian Air Force
Mitchel Field, NY;US Aerial Mail Service
Cleveland, Ohio;US Aerial Mail Service
Rock Springs, Wyoming;US Aerial Mail Service
San Francisco, California;US Aerial Mail Service
Toulouse, France;Aeropostale
River Humber, England;Military - Royal Airship Works
Paris, France;Franco-Roumaine
Near Murchinson River, Australia;West Australian Airways
Paris, France;Handley Page Transport
Near Norfolk, Virginia;Military - U.S. Army Air Service
Grandvilliers, France;Daimler Airways / Grands Express Aeriens
Pao Ting Fou, China;
Brooklands, England;Vickers
Nittany Mt, Ohio;US Aerial Mail Service
Off Folkestone, Kent, England;Cie des Messageries Aeriennes
Cadix, Spain;Grands Express Aeriens
Indianapolis, Indiana;US Aerial Mail Service
Venice, Italy;
Larache, Morocco;Grands Express Aeriens
Fez, Morocco;Grands Express Aeriens
Ajaccio, France;Amee de l'Air
Barcelona, Spain;Grands Express Aeriens
Cheyenne, Wyoming;US Aerial Mail Service
Meadville, Pennsylvania;US Aerial Mail Service
Monsures, France;Grands Express Aeriens
Bucharest, Romania;Campagnie France Roumaine
Colton, Ohio;US Aerial Mail Service
Berks, England;Daimler Airways
Russia;CCCP
Castalia, Ohio;US Aerial Mail Service
Over the Mediterranean Sea;Military - French Navy
Egbert, WY;US Aerial Mail Service
Grampian, Pennsylvania;US Aerial Mail Service
Over the English Channel;KLM Royal Dutch Airlines
Barranquilla, Colombia;SCADTA
United States;US Aerial Mail Service
Cabrerolles, France;Grands Express Aeriens
Goshen, Indiana;US Aerial Mail Service
Purley, England;Imperial Airways
Near Tiflies, Georgia, USSR;Zakavia
Alicante, Spain;Grands Express Aeriens
Alicante, Spain;Lignes Aeriennes Latecoere
Landrécies, France;KLM Royal Dutch Airlines
Alicante, Spain;Grands Express Aeriens
Rosas, Spain;Lignes Aeriennes Latecoere
Budapest, Hungary;CIDNA
Caldwell, Ohio;Military - U.S. Navy
Toul, France;CIDNA
Off Boulogne-sur-Mer, France;Air Union
Montpelier, Ohio;US Aerial Mail Service
Staaken, Germany;Deutche Lufthansa
English Channel;Air Union
Rossaugpt, Czechoslovakia;Compagnie Internationale de Navigation Aérienne
Wolvertem, Belgium;KLM Royal Dutch Airlines
Juist, Germany;Deutsche Lufthansa
Hurst, Kent, England;Air Union
New York, New York;
Bueren, Germany;Deutsche Lufthansa
English Channel;Imperial Airways
Cape Bojador, Morocco;Grands Express Aeriens
Medford, Oregon;PacifiAir Transport
Lille, France;KLM Royal Dutch Airlines
Rabat, Morocco;Grands Express Aeriens
Tambo, Qld, Australia;Qantas
King Hill, Idaho;Varney Air Lines
Goshen, Indiana;US Aerial Mail Service
Floh, Germany;Deutsche Lufthansa
Algiers, Algeria;Air Union
Amoneburg, Germany;Deutsche Lufthansa
Sevenoaks, England;KLM Royal Dutch Airlines
Willington, Connecticut;Colonial Air Transport
Hadley, New Jersey;Reynolds Airways
Saale, Germany;Deutsche Lufthansa
Schleiz, Germany;Deutsche Lufthansa
Thies, Mauritania;Lignes Aeriennes Latecoere
New Brunswick, New Jersey;Colonial Air Transport
Strasburg, France;CIDNA
Over the Gulf of Finland;Aero O-Y
Corunna, Indiana;National Air Transport
Almeria, Spain;Aeropostale
Abuerio, Spain;Aeropostale
France;Latecoere Airlines
Near Canajoharie, New York;Colonial Western Airlines
Solis, Uruguay;Aeropostale
Tarragona, Spain;Aeropostale
France;Aeropostale
Almeria, Spain;Aeropostale
Marquette, Nebraska;Boeing Air Transport
Rio de Janeiro, Brazil;
Off Cape Griz Nez, France;Air Union
Federal, Wyoming;Boeing Air Transport
Minuesa, Spain;Iberia Airlines
;Aeropostale
Dearborn, Minnesota;Ford Air Freight Inc.
Radevormwald, Germany;Deutsche Lufthansa
Frankfurt, Germany;Deutsche Lufthansa
Lebo, Kansas;National Air Transport
Over the Gulf of Finland;Aero O-Y
Purley, England;Imperial Airways
Waalhaven harbor, Netherlands;KLM Royal Dutch Airlines
Near Port Townsend, BC, Canada;British Columbia Airways
Toul, France;CIDNA
Adelaide Hills, Australia;Qantas
Pocatello, Idaho;National Parks Airways
Heroldbach, Germany;Deutsche Lufthansa
Gerona, Spain;Aeropostale
Polk, Pennsylvania;National Air Transport
